territorio,periodo,Indicador,Subcategoria_Indicador,tabela,variavel_cv,categoria,Estimativa,SE,cv_projeto,cv_oficial,dif,ok
Piauí,202302,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,470030.14767884,16898.568723348246,3.5952095427918427,3.6,-0.004790457208157406,TRUE
Piauí,202303,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,492777.5542512,17415.839204770833,3.534219254615821,3.5,0.03421925461582109,TRUE
Piauí,202304,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,517521.70858912,19222.16768241123,3.7142727277692678,3.7,0.01427272776926758,TRUE
Piauí,202401,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,503517.50867374,17761.408761357587,3.5274659679940337,3.5,0.02746596799403367,TRUE
Piauí,202402,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,523427.66235605,20485.982479826704,3.913813493848472,3.9,0.013813493848472191,TRUE
Piauí,202403,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,519851.39282812,19966.82488792794,3.8408716728262444,3.8,0.0408716728262446,TRUE
Piauí,202404,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,523467.50545919,18392.389301766943,3.513568485140828,3.5,0.013568485140828201,TRUE
Piauí,202501,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,524341.14558749,19613.743243621055,3.740645457385408,3.7,0.04064545738540781,TRUE
Piauí,202502,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,539721.29858228,17725.957299770365,3.2842797470346743,3.3,-0.015720252965325532,TRUE
Piauí,202503,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,528914.31569768,19642.079738278997,3.7136600684308445,3.7,0.01366006843084433,TRUE
Piauí,202504,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,549484.27813717,16372.729413096386,2.9796538435280207,3,-0.02034615647197935,TRUE
Piauí,202601,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,557180.34254825,18661.187890608573,3.3492186399222397,3.3,0.04921863992223985,TRUE
Piauí,202602,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,547906.02369642,15838.190700956944,2.890676505818534,2.9,-0.009323494181465719,TRUE
Piauí,201602,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,221762.13451005,8774.121262137407,3.9565461802225634,3.9,0.056546180222563525,FALSE
Piauí,201603,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,205486.78152092,8571.272418369199,4.171203789814862,4.2,-0.02879621018513845,TRUE
Piauí,201604,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,226450.3933412,10298.902857296702,4.547973048463209,4.5,0.04797304846320927,TRUE
Piauí,201701,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,243053.02126587,8901.231092996328,3.6622589781591235,3.7,-0.03774102184087669,TRUE
Piauí,201702,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,233880.96718114,9349.879922324219,3.9977087639982134,4,-0.0022912360017866007,TRUE
Piauí,201703,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,231033.58424422,7835.6375319055805,3.3915577934430168,3.4,-0.008442206556983134,TRUE
Piauí,201704,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,235470.33871453,8576.08058194548,3.6421065297496353,3.6,0.042106529749635246,TRUE
Piauí,201801,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,237964.54518787,10591.303998944903,4.450790764054033,4.4,0.0507907640540326,FALSE
Piauí,201802,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,235074.74555431,10170.9154132326,4.326672943641572,4.3,0.026672943641572466,TRUE
Piauí,201803,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,225030.25452124001,9949.787004697073,4.421533018244859,4.4,0.02153301824485876,TRUE
Piauí,201804,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,217506.5999952,10792.763302228934,4.962039451891166,4.9,0.062039451891165776,FALSE
Piauí,201901,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,211490.97219803,8985.961598966147,4.248862968274657,4.2,0.04886296827465664,TRUE
Piauí,201902,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,213845.24185908,9649.657093952614,4.512448820494008,4.5,0.012448820494007862,TRUE
Piauí,201903,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,204508.98455943,8728.585369115039,4.26806938967443,4.3,-0.03193061032556965,TRUE
Piauí,201904,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,201892.39700106,7526.36859798185,3.7279108623106474,3.7,0.02791086231064721,TRUE
Piauí,202001,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,220182.83163396,11045.770448377498,5.016635659741351,5,0.016635659741351283,TRUE
Piauí,202002,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,202181.13553237,10672.272129221368,5.278569685109269,NA,NA,NA
Piauí,202003,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,209009.39085754,16362.803284467345,7.828740717023652,NA,NA,NA
Piauí,202004,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,202222.17839586,13928.24337640094,6.887594371145439,NA,NA,NA
Piauí,202101,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,199476.24980909,11717.647693783965,5.874206931902125,NA,NA,NA
Piauí,202102,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,180942.55056069,9795.93113685916,5.413835002604047,NA,NA,NA
Piauí,202103,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,192550.3970156,8725.532911756705,4.53155799572295,NA,NA,NA
Piauí,202104,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,199604.73015896,9073.396499891942,4.545682105161599,NA,NA,NA
Piauí,202201,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,219984.2758745,10664.818008370612,4.847991051167148,NA,NA,NA
Piauí,202202,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,205522.3993613,8791.85084598168,4.2778066397161725,4.3,-0.022193360283827346,TRUE
Piauí,202203,PIT_por_Instrucao_SIDRA,Instrucao_sidraFundamental completo ou equivalente,4095,4087,11628,196534.71466139,9182.962733766668,4.672438021744917,4.7,-0.027561978255083552,TRUE
