Indicador,Indicador_Nome,Regiao_Geografica,Geografia_Nome,Recorte_Demografico,Recorte_Nome,Variavel_Testada,Metodo,Estatistica,GL,p_valor,Significancia,p_ajustado,Significancia_ajustada,N
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2210012,Micro 2210012,Raca,Cor ou Raça,Raca,svyglm+regTermTest(LRT),2.3048875935025084,"2, 13",6.128601180997202e-38,***,1.7772943424891884e-36,***,15
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2253011,Micro 2253011,Faixa_Etaria_trabalho,Faixa Etária,Faixa_Etaria_trabalho,svyglm+regTermTest(LRT),9.562114146075878,"1, 14",7.193605157160134e-38,***,4.4960032232250835e-37,***,15
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2210020,Micro 2210020,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),5.797398402072524,"1, 16",8.449881291391899e-38,***,5.238926400662977e-37,***,19
Taxa_Informalidade,Taxa de Informalidade,Zona_Urbana,Zona Urbana,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),395.22115055868744,"1, 199",1.597422874554146e-37,***,2.7954900304697554e-36,***,3692
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Micro_2210020,Micro 2210020,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),9.81585136489303,"1, 16",2.955993152135469e-36,***,4.433989728203204e-35,***,19
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Micro_2251011,Micro 2251011,Raca,Cor ou Raça,Raca,svyglm+regTermTest(LRT),5.806796580278199,"2, 11",3.189523424604248e-34,***,3.2958408720910565e-33,***,12
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2251012,Micro 2251012,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),5.906344392577882,"1, 11",3.3470171969319327e-34,***,1.7292922184148318e-33,***,15
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Micro_2252013,Micro 2252013,Sexo,Sexo,Sexo,svyglm+regTermTest(LRT),4.783322804646385,"1, 11",3.854958796311706e-33,***,1.1179380509303947e-31,***,12
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Micro_2252013,Micro 2252013,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),2.023408062041426,"1, 11",1.6767207440525322e-32,***,1.6767207440525324e-31,***,12
Taxa_Informalidade,Taxa de Informalidade,Agreg_Baixo Parnaíba do Piauí,Baixo Parnaíba do Piauí,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),188.53370223301113,"1, 199",1.86260089426231e-32,***,2.1730343766393615e-31,***,919
